,abstract,lead_paragraph,headline,keywords,sentiment
1571,"Travelex’s stores, airport counters and exchange services were forced offline by a ransomware attack on New Year’s Eve.","The numbers that usually glow with exchange rates on Travelex boards in airports worldwide have gone dark, after the London-based currency exchange company was forced to go offline after it discovered a ransomware attack on Dec. 31. ",Travelex Is Crippled By Hackers Seeking A $6 Million Ransom,"['AIRPORTS', 'Cyberattacks and Hackers', 'Currency', 'Travelex', 'Barclays PLC', 'Royal Bank of Scotland PLC', 'HSBC Holdings PLC.', 'Customer Relations']",-0.3449472539388791
1572,"If a Ukrainian passenger plane was shot down in Iran on Wednesday, as American officials believe, it would join a long list of civilian aircraft brought down by armed forces.","A Ukrainian airliner, a Boeing 737-800, went down in Iran on Wednesday morning, killing at least 176 people. American officials believe that the Iranians brought down the airliner by mistake, with two missiles fired from an Iranian air defense system, the SA-15.",Grim Look At Planes Shot Down,"['Aviation Accidents, Safety and Disasters', 'Defense and Military Forces', 'AIRLINES AND AIRPLANES', 'Malaysia Airlines Flight 17']",-0.09794584142472129
1573,Al Pacino’s portrayal of the union leader in “The Irishman” differs markedly from Jack Nicholson’s take in a 1992 movie.,"It’s not hard to see what drew two of the finest actors of their generation to play James R. Hoffa. Sure, the man spent decades in the public eye, led what was then the nation’s largest labor union, sparred with the Kennedys and disappeared in one of the quintessential unsolved mysteries in recent history. But he’s also a great character, a sizzle reel of big, boisterous speeches, roaring dressing-downs and showy theatricality. It’s the kind of role an actor can really sink his teeth into, especially if he’s known for chewing a bit of scenery — a delicacy frequently enjoyed by both Jack Nicholson, who played the title role in the 1992 “Hoffa,” and Al Pacino, currently garnering awards buzz for his work as Hoffa in “The Irishman.”",Hoffa Was Big Enough for Both of Them,"['Movies', 'Pacino, Al', 'Nicholson, Jack', 'The Irishman (Movie)', 'Hoffa (Movie)', 'DeVito, Danny', 'Hoffa, James R']",0.19270901766944648
1574,The decline of discourse in the anti-Trump echo chamber.,"Donald Trump is impulse-driven, ignorant, narcissistic and intellectually dishonest. So you’d think that those of us in the anti-Trump camp would go out of our way to show we’re not like him — that we are judicious, informed, mature and reasonable.",Trump Has Made Us  All Stupid,"['United States International Relations', 'United States Politics and Government', 'Suleimani, Qassim', 'Trump, Donald J', 'Middle East']",-0.21540017220878507
1575,The president put us on a path toward conflict and turmoil with Iran.,"President Trump says that on his watch, Iran will never be allowed to have a nuclear weapon. But if he had wanted to keep that promise, he should have left the 2015 Iran nuclear agreement in place. Instead, he pulled the United States out of the deal and pursued a reckless foreign policy that has put us on a path to armed conflict with Iran.",Trump’s Gift to Iran’s Hard-Liners,"['Iran', 'Trump, Donald J', 'United States International Relations', 'Nuclear Weapons', 'Targeted Killings', 'Suleimani, Qassim', 'Embargoes and Sanctions', 'United States Defense and Military Forces', 'United States Politics and Government']",0.20883811100329827
1576,The curator of the High Line will be the first Italian woman to organize the show.,"The Venice Biennale, the world’s longest-running large-scale survey of contemporary art, looked locally and internationally to find a curator for its next edition — and selected a leader who personifies both. She is Cecilia Alemani, the curator of New York’s High Line, the organization announced Friday.",The Venice Biennale Picks Its Next Curator,"['Alemani, Cecilia', 'Venice Biennale', 'Art', 'High Line (Manhattan, NY)', 'Museums', 'APPOINTMENTS AND EXECUTIVE CHANGES']",0.14719879752716877
1577,"The president and executive director of the trade organization, which is reeling from disputes involving racism and diversity, said they were stepping down.","The Romance Writers of America, grappling with the backlash to a racism dispute that has spurred furious debate over diversity and inclusion issues within the romance genre, said Thursday that its president and executive director have resigned.",Leadership Upheaval For Romance Writers,"['Romance Writers of America', 'Suede, Damon', 'Ritter, Carol', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'Discrimination', 'Writing and Writers', 'Books and Literature']",-0.0310187585326152
1578,The Labor Department’s monthly jobs report suggests that the economy ended 2019 on a steady footing.,"The American labor market completed a decade-long marathon of hiring in the final month of 2019, and still shows few signs that it is running out of breath. ",Find a Job? Not So Hard. Get a Raise? Good Luck.,"['United States Economy', 'Labor and Jobs', 'Wages and Salaries', 'International Trade and World Market', 'Unemployment', 'United States Politics and Government', 'Presidential Election of 2020', 'Factories and Manufacturing', 'Trump, Donald J']",0.6332515583650647
1579,"The announcement comes as American and allied intelligence assessments have suggested that Iranian missiles brought down the plane, most likely by accident.","Iranian officials plan to meet with international investigators on Saturday and announce the cause of the Ukrainian jetliner crash near Tehran this week that killed all 176 aboard, Iran’s semiofficial Fars News Agency reported on Friday, capping a day of international recriminations.",Iranian Officials Expect  To Announce the Cause Of a Jet Crash Today,"['Defense and Military Forces', 'Aviation Accidents, Safety and Disasters', 'Ukraine International Airlines Flight 752', 'United States International Relations', 'Missiles and Missile Defense Systems', 'Pompeo, Mike', 'Suleimani, Qassim', 'Trump, Donald J', 'Zelensky, Volodymyr', 'Iran', 'Ukraine']",0.4324465583925687
1580,Mr. Collins walked back his statement made Wednesday amid a fiery debate over Congress’s role in matters of war and peace.,"WASHINGTON — Representative Doug Collins of Georgia apologized on Friday for accusing Democrats of being “in love with terrorists,” a claim he hurled during a bitterly partisan dispute over whether to curtail President Trump’s war-making power in Iran.",Trump Ally Walks Back Attack of Left,"['United States Politics and Government', 'Defense and Military Forces', 'Targeted Killings', 'Drones (Pilotless Planes)', 'House of Representatives', 'Esper, Mark T', 'Collins, Douglas A (1966- )']",-0.23018830252189
1581,"By opting not to change the company’s political advertising rules, Mark Zuckerberg has ensured another election shaped by the social network.","SAN FRANCISCO — If you were hoping to hear less about Facebook this year, you’re out of luck.",Facebook Opts To Influence 2020 Election,"['Presidential Election of 2020', 'Facebook Inc', 'Political Advertising', 'Online Advertising', 'Rumors and Misinformation', 'Zuckerberg, Mark E', 'Social Media', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States Politics and Government']",0.1261268630862611
1582,"Sultan Haitham bin Tariq took power after the death of Sultan Qaboos, who ruled the country for 50 years, and he pledged to follow his predecessor’s quiet diplomacy.","BEIRUT, Lebanon — The Persian Gulf nation of Oman named a new leader on Saturday, an Oxford-educated veteran of public service who pledged to continue his predecessor’s quiet diplomacy between global foes.",Oman’s New Leader Vows to Keep the Country on a Peacemaking Path,"['Politics and Government', 'United States International Relations', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'Oman']",0.19384609370116684
1584,"The photographer Pieter Hugo, who has captured scenes from Nigeria to Mexico, takes T inside his studio.","In 2018, the curator Francisco Berzunza invited the South African artist Pieter Hugo to Mexico to create a body of work that would engage with themes of sexuality and death for an exhibition at the Centro Fotográfico Manuel Álvarez Bravo. During his monthlong stay, Hugo searched for a response to this prompt, and inspiration came when he chanced upon a platter of desiccated fruits in Oaxaca. “Making Pigments. San Agustin Etla” (2018), which shows a spread of dying crops in bold hues, was the first image Hugo captured in Mexico. But “something shifted” during that first visit, Hugo says. “I don’t know why, but I’m not done here,” he remembers thinking; he has since visited Mexico four more times, traveling between the bustling border city of Tijuana in the north, the colonial town of San Cristóbal de las Casas in the Central Highlands and the indigenous Zapotec town of Juchitán in the southern state of Oaxaca. “From the Day of the Dead to narco-politics, death is strongly felt there,” he says of the country, but it was its people’s day-to-day understanding of life’s fragility that inspired his new photography series, “La Cucaracha,” which will go on display at Yossi Milo Gallery in New York this month. Hugo named the series after the popular folk song about an injured cockroach whose lyrics are often rewritten in Mexico as political satire.",A Skull Session,"['Art', 'Photography', 'Hugo, Pieter', 'La Cucaracha (Exhibit)', 'Yossi Milo Gallery', 'Oaxaca (Mexico)', 'Mexico']",0.03921601563075751
1585,"When your older child’s achievements are recognized, and your younger one’s are forgotten, should you say something?","When our first child graduated from college, his godfathers (a gay couple) gave him a substantial monetary gift. When our second child graduated, the godfathers were going through a messy breakup and failed to acknowledge his graduation in any way. We’ve never mentioned this to the godfathers. Our second child is now about to earn his master’s degree. He recently told us he feels sad that his godfathers remembered his brother’s graduation, but not his. Should we remind the godfathers to acknowledge our younger son’s upcoming graduation and what they gave our older child? Trust me, it’s not about the money. We are still close with both men.",The Gift of Discretion,"['Customs, Etiquette and Manners']",0.35571066412107155
